id;prty_fk;frst_ntnlt_frmt;frst_continent;scnd_ntnlt_frmt;scnd_continent;thrd_ntnlt_frmt;thrd_continent;frth_ntnlt_frmt;frth_continent;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;throttle;vintage alongside;medium after determine;quirkily heavily psst;swelter continually when;despite eek ruminate;huzzah blah spark;babyish deficient;plus manor animate;although above;2023-10-24;2023-10-24;intent given;kookily
2;victimise trailpatrol disenfranchise;dimly immigrant ally;damaged;sweet watchful;burly;yesterday beautiful;internal usefully;farrow hydroplane unhappy;if yowza republican;squiggly near;2023-10-24;2023-10-24;or;excluding
3;meaningfully breathalyze;ew;and um after;for oh the;ick;kindly kindheartedly bowed;aha;drat inflect;carom;next arrogantly;2023-10-23;2023-10-24;herbs chew;introduce
4;bassinet pace revelation;jaggedly striped;whereas inasmuch lean;although hospice;slim never;salty;visa aw;ego rowing;but;stealthily meh nor;2023-10-23;2023-10-24;trusty tomorrow absent;whose sidecar
5;meek;clearly grasshopper;uniform marvelous until;ouch advanced why;coincidence;mow blah almost;or;silently hence;differ qua;foolhardy boo;2023-10-24;2023-10-23;yum;oddly
6;during rubbery;squirt frivolous;outrun lanky that;gosh although earthworm;loyally likewise;tide around;parallel;dreamily light;down;recapture flashy provided;2023-10-23;2023-10-24;float solidly relieved;nag truant rarely
7;er before;wearily;ex-wife pace;pertinent gall-bladder considering;wind anxiously flanker;afternoon scorn nestling;throughout however spokeswoman;phooey flowery;plus;green;2023-10-24;2023-10-24;listening;oof willfully
8;under;of silent;mastoid;selfishly;wet over remand;yuck enormously swoop;readily;often obsidian zigzag;sarong oblong;nor allay;2023-10-24;2023-10-23;including with little;move zowie quinoa
9;coaxingly blah drat;cuddly oh;majestic;deter energetic;quicker uh-huh maid;shirtdress;showy;naturally boastfully;supposing carve indeed;beneath woot husband;2023-10-24;2023-10-24;annul because infantile;phooey fortunate when
10;without;pfft buttery meanwhile;blah trivial yieldingly;even tensely;an;barring pastoralist now;qua daintily;boo;namecheck whiten stampede;out at;2023-10-24;2023-10-24;oof;enormous via er
