id;num_ligne;resort;resv_name_id;client_o_id;type_chb;confirmation_no;client_mdm_id;name_id;parent_resv_name_id;contact_id;agence_id;agence_nom;societe_id;groupe_id;num_bloc;type_resv;statut_resv;date_debut_resv;date_fin_resv;trunc_date_debut_resv;trunc_date_fin_resv;date_ann_resv;pseudo_room_yn;createur_resv;nom_createur_resv;code_garantie;flg_ded;code_pays;lib_pays;code_nationalite;lib_nationalite;code_source;lib_source;code_grand_source;code_origine;lib_origine;code_marche;lib_marche;code_grand_marche;lib_grand_marche;code_prix;categ_prix;lib_prix;num_chb;description_type_chb;code_type_chb;class_chb;caract_chb;type_chb_de_reservation;description_type_chb_de_resv;code_type_chb_de_resv;statut_de_reservation;circuit_distribution;circuit_distrib_user_regroup;num_crs;type_ref_crs;crs_insert_date;date_crea_resv;date_premier;statut_premier;date_dernier;statut_dernier;date_dernier_pseudo;statut_dernier_pseudo;diff_dt_crea_ann;diff_dt_arr_ann;leadtime;los;occupants_groupe;nb_nuitee;nb_nuitee_nn_ded;nb_resv_ann;nb_adu;nb_enf;nb_pers_day_u;nb_pers_arr;nb_pers_dep;nb_pers_ann;nb_pers_noshow;nb_chb_day_u;nb_chb_arr;nb_chb_dep;nb_chb_ann;nb_chb_noshow;revenu_net_chambre;revenu_taxe_chambre;revenu_net_chambre_global;revenu_taxe_chambre_global;revenu_net_bq;revenu_taxe_bq;revenu_net_bq_global;revenu_taxe_bq_global;revenu_net_extra;revenu_taxe_extra;revenu_net_extra_global;revenu_taxe_extra_global;revenu_net_total;revenu_taxe_total;revenu_net_total_global;revenu_taxe_total_global;prod_revenu_chambre;prod_revenu_bq;prod_revenu_extra;prod_revenu_total;prod_chambre_nb_nuitees;tech_create_date;tech_update_date
1;16556;furthermore as workbench;10250;mix same blond;rainmaker;sensitise;um whoa through;11473;22956;17962;23710;brr;27542;13178;11806;wildcat;reluctantly whoever mmm;2023-10-24;2023-10-23;2023-10-24;2023-10-24;2023-10-24;testify upright;5926;small;duh;muffled reboot;digital;oof;swarm hubris;indeed whereas;bowlful sequestrate closely;affectionate what;excepting;professionalise;supposing aha or;tangible;um inside frequent;woot beside;lost;before;fortunately;pfft;although;oppose;absent aw;mainland;upon sans hutch;utterly properly;ankle when;chuckle;tracksuit instead;where;where ouch;phooey aha;ruling potable reapply;2023-10-24;2023-10-24;2023-10-23;unfortunately but;2023-10-23;yowza for;2023-10-23;ward;5928;25703;12393;7888;incompetence drat;542;24847;20997;32177;12309;17444;22141;754;11538;18514;24260;12230;17213;25055;16050;22027;16035;31027;813;11800;18907;30675;10898;9630;22878;13424;21120;3701;11831;18955;8287;298;7094;8190;10779;3151;2023-10-23;2023-10-23
2;18322;psst pootle;29971;aboard oh beneath;however barring below;clot;medication boo admirable;22544;15530;28700;8059;ugh blah bristle;8639;2243;5268;amidst;shakily yodel laborer;2023-10-23;2023-10-24;2023-10-24;2023-10-23;2023-10-24;yippee;11259;tissue first;ha;besides skill as;inheritance parenthesis;inexperienced mature;huzzah anywhere immigrate;stealthily yearly;imperil;nor far;noisily why;furiously;part though;twist unfurl;wait;offensively actually reassuringly;underneath;suction uselessly;worsen ouch but;yahoo thoughtfully;aboard solidly temper;mandarin phew;vice;after if;surname;precedence;real;somber loiter vivaciously;furthermore queasily;roughly hence bust;until boo motherly;difference inbox;zowie abaft commonly;2023-10-24;2023-10-24;2023-10-24;tummy hammer until;2023-10-24;hence furthermore after;2023-10-24;towards degrade monumental;11854;15671;12479;25345;indeed;29483;27304;17640;3548;18236;9778;15790;12286;1056;6199;28381;19275;28774;28891;22700;14882;9019;1777;11670;1129;11042;13875;3219;30196;12531;9502;15297;22604;25920;7308;7863;18870;29033;9338;5745;22385;2023-10-23;2023-10-24
3;21358;alive till hence;13447;dutiful;zowie;towards;drummer even;4411;28568;21065;5330;enchanting whenever;30234;28735;32242;versus;outside meaningfully zowie;2023-10-24;2023-10-24;2023-10-24;2023-10-24;2023-10-24;hence;4407;smooch;wavy immediately trampoline;inwardly;ha;honestly first act;indeed;unhinge;revivify unethically;beyond;tailbud;yuck meh;nickel;incidentally;furthermore gabble;pish;tame;ruddy;regularly why whenever;drat although until;map;likewise;raffle deflate patiently;attendant awkwardly;finally failing;genre understudy;aha against;reassuringly;while rocket-ship nor;because chortle;qua;ill upwardly chastity;viewing;2023-10-24;2023-10-24;2023-10-24;oof;2023-10-24;lyrics oof;2023-10-24;woeful subdued warm;25908;16419;30867;17638;per ew;10753;23790;16882;29783;17519;30114;27980;10407;22868;1573;8114;10604;2740;27047;25089;2765;25445;8500;11284;7696;20698;15676;17984;13211;28009;8557;25802;3731;2285;5281;29058;16507;14056;22240;4587;15635;2023-10-24;2023-10-23
4;28786;scarce;27220;pet careen swing;incomparable;hence shield ew;ack bath aside;26968;24794;31743;24814;combine mansion opposite;20121;29916;31124;codon;oh;2023-10-24;2023-10-24;2023-10-24;2023-10-24;2023-10-23;immigrant;9812;roasted hourly checkmate;phooey ugh;um long-term;how wrong downright;decorate;christen energy;per utterly;whoever vice minus;ill-informed unto gee;bus;floodplain generally precedent;freely;polished;meaningfully huzzah;bleakly enchanted;treasure;yippee;regularly;following by sip;diner vibrant;candid;oh;aha defile;boo;even oncology;precious;psst toward under;ouch dangle;outside even;fete bouncy tightly;division boo;ack;2023-10-24;2023-10-23;2023-10-23;except once hm;2023-10-24;a grass around;2023-10-24;amidst instead pessimistic;7246;22870;19117;24249;thankfully blah boo;8792;19479;14805;8293;26464;20840;29702;9108;24611;11944;10730;11235;2975;22879;17651;20993;30878;776;16011;5230;5321;19473;27876;20902;19577;13918;24737;25446;28818;8356;16960;4486;11089;15212;29335;9887;2023-10-23;2023-10-24
5;24250;impact needily;27155;eek pale;matter towards from;substantial because erode;sky reluctantly um;32465;17728;4473;16012;since;23096;13162;18623;wise minus;cold over;2023-10-24;2023-10-24;2023-10-24;2023-10-24;2023-10-23;around wherever consequently;25395;claim huzzah;neatly phooey;playfully;woot inhabit;clash;computerize barring vision;peacoat beast title;while;because eek hence;flawed following;bridge;still legitimise notwithstanding;trepan psst;meh fillet gah;between behind;kiddingly pace;lodge;deficient;pfft inferior;boohoo than nearly;all;jungle sweetly;so;grandiose;after;hm;overturn drench;faint healthily boohoo;jovially;often;mid;scared hm ornery;2023-10-23;2023-10-24;2023-10-24;along yuck before;2023-10-24;hockey aw;2023-10-24;carboxyl appropriation why;13671;32141;20895;5587;failing hence;10341;13142;6974;31304;3778;16787;16118;4071;21679;31558;25150;24798;27363;10824;9411;3273;24865;32179;8318;26772;32365;13286;14912;26538;4245;14461;13873;8993;19738;2508;27846;18066;30949;1612;17929;1467;2023-10-24;2023-10-24
6;30003;catalyst;19292;unto and;silence behind;sleet;diadem exempt gutter;12285;20880;8151;3256;hence deposition;8247;6786;26902;psst until;self-reliant;2023-10-24;2023-10-24;2023-10-24;2023-10-24;2023-10-24;absentmindedly;17852;overconfidently whoever upright;a;extremely;drafty;poignance atop;accident slowly however;nor boohoo till;wonderfully;ugh wrinkle clothes;wherever remorseful;unlike horseradish;nitrify gloom merrily;tray tattered knottily;towards hush;prime sadly;gifted huzzah smart;because incidentally creative;since;barring president magnificent;jol;er an adjudge;toward mochi;how;curler crisp why;venerated infect;recession integrity er;cautiously pish;hmph noisily;controversy wilted gracefully;patience loosely;lure;foment road;2023-10-23;2023-10-23;2023-10-24;remarkable woodwind;2023-10-24;regret legitimate;2023-10-24;elaborate but;12018;15507;6900;21900;slowly aw beyond;19164;31601;8635;16330;13113;5396;3826;8357;20909;17767;6352;11501;32240;12213;30146;9042;25848;2231;743;18258;27483;31480;17275;10029;20151;15582;23729;22556;8337;32314;22890;19987;25103;24499;13691;1896;2023-10-24;2023-10-23
7;4962;onto knavishly;19924;nearly;powerfully inasmuch;margin;pfft electronics about;21666;1979;20282;30812;reflecting;24532;27870;26906;because hm psst;droopy wherever lost;2023-10-24;2023-10-24;2023-10-24;2023-10-24;2023-10-24;ruddy;20771;loafer nor;ice;what hence meaty;provided;fairly stuff within;polarize fatally square;mmm;very underneath;hospitalise;discolor;criminal whose ensnare;after;wherever;whereas hence;mid finally;realistic even recreation;reassuringly;safely;rightfully;transplantation kick;within;oboe;kindly hand;wearily declaim indeed;dental;utter until;harmonious incentivise catalogue;descent since or;uh-huh restfully;by gah;drat;why who;2023-10-24;2023-10-24;2023-10-24;towards;2023-10-24;ugh;2023-10-24;famously per;3669;31491;525;9031;suddenly till;20902;21390;29183;11689;3723;909;17642;24975;26397;27476;24946;21564;25586;12577;13019;26149;30393;27286;19296;23452;18039;10238;7579;15877;534;13835;31641;18340;3590;3174;16212;22432;10000;7436;5457;2170;2023-10-23;2023-10-23
8;7525;inasmuch inside presence;15165;from gee wearily;antique;phooey;storage boohoo;10205;28528;23516;20642;detainment angrily;12192;2194;31082;as;and;2023-10-24;2023-10-24;2023-10-23;2023-10-24;2023-10-24;previous;10772;concerning dimly whenever;trespass unexpectedly pond;plump urgently;oof;content alongside;like disengage;fencing ew;front;jumbo dishonest even;spy too crafty;broadly phooey;energetically yum fickle;nervously indeed;appeal solicitation;supersized even;spoof;helplessly once gah;each adept aboard;granular neatly distinct;consequently;wherever;gasket;yippee;that;since until;key wealthy gyrate;but wraparound;where belligerency;nearly before;yuck squeaky relieved;duh rotten wide-eyed;worth vane alongside;2023-10-23;2023-10-23;2023-10-24;never appease;2023-10-24;during duh;2023-10-23;lest;30497;18754;13231;3844;shine monthly;26130;20617;11347;32255;19800;20192;9227;28129;19659;11617;17825;1263;30001;9307;24809;28596;15439;29308;7828;2047;23529;4564;534;353;19577;6273;12766;6026;1161;3305;9150;15965;1275;22888;16715;19920;2023-10-23;2023-10-24
9;25731;several;28701;deliquesce bleat;that impressive strictly;for;out;25604;1640;4459;10272;for concerned;20086;7278;16247;lively keenly flawed;wherever since;2023-10-24;2023-10-24;2023-10-24;2023-10-24;2023-10-24;well-being lest;25363;contradict skivvy out;wing;responsibility jaggedly;perfectly wound miniature;wide-eyed despite;but;famously that altruistic;cannibalise punctually;pub mix;indeed before;geez;drat even;quaintly where provided;though curler;yawning fooey nor;foresee duh farrow;whose hand-holding plus;inquisitively;preach gah obnoxiously;legislator when accidentally;excepting consequently;toss gallery crochet;until seed;ugh;bed er;by;oh fixed pump;although dimly;if absent patient;excited;vine qua;joyfully though;2023-10-24;2023-10-24;2023-10-24;baby engineer;2023-10-24;welly;2023-10-24;unless worth;9840;30789;21634;21016;convention lay;19609;23832;9405;22930;23055;16269;8159;19962;20589;16160;20419;12399;24646;13664;13388;23407;3136;7269;2263;8890;7388;28759;10254;7;24749;23409;15961;21732;18025;29206;32407;3084;15060;15624;19812;4106;2023-10-24;2023-10-24
10;8887;repeatedly;27802;whether pinafore;loyally if tenderly;until;elegantly huzzah;21616;20251;2428;10485;cultivator;15975;28698;3170;whose wearily onto;abjure finally;2023-10-24;2023-10-24;2023-10-23;2023-10-24;2023-10-24;kindly;22372;anti boohoo across;generally;outside boohoo;oof abaft;gosh;probable inasmuch far;among;batter wherever;svelte;concerning exalt brave;fortunate;aha linger once;inundate;nonstop;blemish abstain when;general;except dissociate;afflict size;emigrate while foolishly;outgoing knife huzzah;sheepishly;scarily;besides busy questioningly;magnificent;woot instead oasis;sharply coolly;squeaky;whoever;vastly a until;square while misrepresentation;sans common;easily forge rundown;2023-10-24;2023-10-24;2023-10-23;where oh;2023-10-24;clumsy;2023-10-23;phew fervently even;6437;1520;18419;31821;region lively splinter;2591;29895;21136;29573;27093;4676;9965;2933;12214;28888;790;21362;27738;15495;905;22165;9370;20483;20823;2210;4532;4538;27359;10766;3425;1683;4791;28682;11689;11221;23322;30366;17549;23866;19200;13782;2023-10-24;2023-10-23
