id;num_ligne;resort;resv_name_id;client_o_id;type_chb;business_date;num_ordre;confirmation_no;client_mdm_id;name_id;name_id_ligne;contact_id;agence_id;agence_nom;societe_id;groupe_id;membre_id;source_profile_id;num_bloc;statut_resv;statut_vip;date_debut_ligne;date_fin_ligne;date_fin_origine;date_ann;pseudo_room_yn;complementaire_yn;interne_yn;walkin_yn;createur_resv;nom_createur_resv;code_pays;lib_pays;code_nationalite;lib_nationalite;code_source;lib_source;code_grand_source;code_origine;lib_origine;code_marche;lib_marche;code_grand_marche;lib_grand_marche;code_prix;categ_prix;lib_prix;num_chb;type_chb_ligne;description_type_chb;code_type_chb;class_chb;statut_chb_resv;type_chb_de_reservation;description_type_chb_de_resv;code_type_chb_de_resv;circuit_distribution;circuit_distrib_user_regroup;nb_resv_ann;nb_nuitee;nb_nuitee_nn_ded;nb_nuitee_global;nb_occupation_multiple;nb_adu_global;nb_enf_global;nb_pers_day_u_global;nb_pers_arr_global;nb_pers_dep_global;nb_pers_ann;nb_pers_noshow;nb_chb_day_u_global;nb_chb_arr_global;nb_chb_dep_global;nb_chb_ann;nb_chb_noshow;revenu_net_chambre_global;revenu_taxe_chambre_global;revenu_net_bq_global;revenu_taxe_bq_global;revenu_net_extra_global;revenu_taxe_extra_global;revenu_net_total_global;revenu_taxe_total_global;prod_revenu_chambre;prod_revenu_bq;prod_revenu_extra;prod_revenu_total;prod_chambre_nb_nuitees;dates_sejour_rens_yn;tech_event_type;tech_resv_inv_type;tech_origine;tech_grp_num_ordre;tech_create_date;tech_update_date;resv_name_id_principal
1;27988;stingy near;9045;past;shovel;2023-10-24;23712;dispatch;capitalise oof foretell;14553;25452;19731;20208;skewer when;13505;28095;26961;29424;25608;beside;judgementally more;2023-10-24;2023-10-24;2023-10-24;2023-10-23;as;whereas strident;owlishly;eek log;30906;hobnob;prune gosh;whimsical freestyle;ouch unethically spur;label;host brr gah;meh;flawless huzzah unless;closely impassioned;fooey than;cruel worth verifiable;dangerous;meander whether;pace;painting dictaphone frozen;sparkle;magnet after;anorak brr;angrily oof toward;around onto;asymmetry other;misguided;though woeful;testy focalize;ew alongside;divvy above;against intently except;oof but rifle;21657;32468;13079;11655;20589;24173;25165;19106;12333;5276;20736;23808;26406;15438;13110;12351;11324;12256;9173;27309;11136;19586;2727;31075;15447;18813;3740;12620;11189;15837;gee complicated;wetly supposing;burro;maiden employer;15917;2023-10-24;2023-10-24;20425
2;12890;geez reminder;3918;per unimpressively;except dog pillory;2023-10-23;18672;likely command;shameful politics;20836;4388;11167;22670;that whenever furnish;16281;21608;3654;19499;22075;up;lone whoever;2023-10-24;2023-10-24;2023-10-24;2023-10-24;surpass;common zowie;madly onto;harness;830;blah oval;behind;quantify;too;slowly;tasty;eek whoa;tune interesting;sponge oh;yahoo tart;until retry;pushy barn;equally upon;false indeed;since;think beside;brr;reasonable regarding;duh first drawer;cautiously botch towards;wipe concern gentle;from pish lest;appertain;brr;minus embrace forbear;previous;mellow;counsel gah pleased;14657;20238;19045;14779;1785;16842;8347;27045;13384;4;21696;28175;3578;23403;16694;21856;6058;32339;7045;24641;16507;25011;17711;16841;13146;25576;17677;24197;20392;14647;woot factorize;mixer industrialization failing;court;cadge slowly;32505;2023-10-24;2023-10-24;1259
3;6303;meh mainstream;11693;playfully sonata;brr nervously tightly;2023-10-24;978;trooper suspiciously;despite selfishly;27029;18725;24231;30320;lift hug so;27544;28948;31020;24769;10407;geez;but silently honorable;2023-10-24;2023-10-24;2023-10-24;2023-10-24;psst briskly;before;astride versus so;willing;9882;superb yum;several sermonize puzzling;happily evenly smoothly;familiarize lest excepting;interestingly voluminous yum;amongst miserably frizzy;gadzooks decade in;even incidentally;shrilly;peel curiously;caftan almost associate;phooey;yahoo cheerfully nurse;onto;that;duh;pish mockingly;yahoo;grouchy ah order;however till;forenenst nephew madam;thrifty;like out whereas;geez;anenst incidentally than;author;although gah till;arraign harbor;28992;19225;32248;22750;18706;6692;1283;20643;27251;23960;30088;32181;8813;31547;27873;8687;17010;15468;16107;31484;18004;26141;14690;16250;24094;8208;2759;4056;13902;31351;icky finally now;err;absent vastly purr;crossly;27970;2023-10-23;2023-10-24;24988
4;8648;barring;17983;righteously bee;soon systematise;2023-10-24;15047;clove separately condescend;during repulsive miserably;14275;31841;14607;16187;suddenly;16048;21694;30439;5588;25438;instead;half;2023-10-24;2023-10-24;2023-10-24;2023-10-24;past permission barring;aw far-flung even;roughhouse disrobe tennis;scrawny until hm;31264;traumatise ugh;abaft;strict ah along;shy;brr;thump unto;pfft;standoff joyously device;allergist;provided apropos;kooky dressing;opponent selection;lighthearted boo if;jaggedly tall keenly;along upon;resolution within;forenenst sans as;for;eventually times friendly;strand excitedly good-natured;when whoa;even pootle;dagger;gadzooks yarmulke upwardly;because while down;warn residue whenever;blah gee since;corny amidst that;28288;19732;15772;8508;30070;3674;1329;14682;17634;1018;30077;8735;21278;13112;23227;6292;30091;24837;11842;9874;7207;28990;9953;14734;8447;948;31347;7054;8605;10847;awkwardly what;knowledgeably for most;phooey boldly bunt;woot;12488;2023-10-24;2023-10-24;10340
5;28582;um slowly;29990;satisfied madly;ouch wealthy;2023-10-24;1093;gee;ideal so;20645;23745;19468;14954;modulo;18646;31233;31639;3560;7462;appliance;woot after reprieve;2023-10-24;2023-10-24;2023-10-24;2023-10-24;milkshake blah consequently;except swiftly;sick;and outdo off;30129;gadzooks what that;yesterday a gelatin;gynaecology infringe agile;geez wholly;yesterday;safely kindly violently;judgementally antennae but;indelible lest treat;swagger curve during;eek full nor;despite duh holiday;swordfish what;brr;sleepy including;custom which;satirize so;dramatise who;preach terribly ew;once;fooey;because;uselessly whoa;stupendous instantly lest;signal;beanstalk likewise;that sushi airfield;whose deeply;furthermore how intrude;26776;17233;31957;2170;28148;29528;19139;27484;21383;22147;32310;5731;10184;20987;24261;29087;3778;18394;29801;20578;28841;19856;25667;27677;19545;8718;5622;5112;12939;25569;grin;worthwhile mop scope;safe hmph;live;849;2023-10-24;2023-10-23;11259
6;18737;ah handmade;31697;since;ricochet brightly;2023-10-24;26451;below meanwhile;forage worth humongous;7098;21638;12913;2322;physical victoriously ah;1256;17345;20797;19216;20019;adore;yowza;2023-10-24;2023-10-24;2023-10-24;2023-10-24;hmph ultimate;aw;unto attractive before;yahoo but;329;what;boohoo threadbare;board grin fickle;vivaciously hydraulics;so bah;consequently;tedious;prize thoughtful grind;instructive uh-huh buck;er terribly retake;for punctually eek;coarse gah angrily;unfurl conifer;wan;joshingly;phew;net nicely;unnecessarily institute fondly;nor;banyan instead;vigilant visit meaningfully;chubby ack;hastily;worth autograph;revelation seldom realise;impress foreigner referee;noisy till;negotiate meh;26117;11356;14508;14048;8808;18122;12795;29775;12307;30028;1373;1119;10854;27764;14492;13064;11451;21741;26220;20668;17293;9159;27406;6623;31572;12835;31808;9980;25649;22;yet;amid drafty;fooey opposite acceptable;abaft saddle mid;16042;2023-10-24;2023-10-24;481
7;29594;well-to-do;28686;pfft;truthfully valiantly tonight;2023-10-23;25351;disintegrate sedately;mmm tickle;30928;14329;24214;15218;apropos;15464;30781;16800;31490;15238;from;focused;2023-10-24;2023-10-24;2023-10-24;2023-10-24;intuit;long ew altruistic;regarding in solidly;unbearably;29164;whose behind;except trembling for;used resonate remote;perfectly sharply nurture;prejudice private;command suckle mammoth;hydrolyse commonly which;thoughtful;gadzooks squirt;correctly;out till pish;gadzooks near afore;how;amongst limestone;toward;zero oof earnest;psst atop;sternly strict;by;bidder ha;even easily;scarcely;sans meh afore;oh administer certainly;gesticulate per;shrine;after;deliberately anenst saw;25223;7947;27481;13099;4143;11544;11991;23138;10289;5185;31373;29981;19046;17026;1625;30803;19273;10205;578;6485;17813;22793;22428;5673;7461;18923;31237;15477;31964;12943;likewise abase;till;ew between as;nonstop provided;12676;2023-10-24;2023-10-23;7911
8;2245;humidity worrisome;18658;yahoo couch;that double;2023-10-23;28344;punctually catapult worth;policeman;1367;7679;11388;23146;flawed triumphantly;18063;31530;20722;19811;19634;woot;viciously regarding calmly;2023-10-24;2023-10-23;2023-10-24;2023-10-24;miserly full;whereas wreck worth;yippee refund pelt;grain what even;3795;hm noir;limply cheerful;uplift if;phooey;ugly;leap hmph lipstick;clone;discrete multiply;recklessly while;jeopardize duh;after assured;lest checkout;reap tote;although;composed;gee;immediate gee;besides carbon;oh;about;so impassioned willfully;recall;mechanically polite;evergreen phew and;sans arctic uh-huh;ideate;sweltering;quietly foolishly lest;6580;27790;31590;5048;22528;1118;19008;21843;23059;17452;27340;11108;32675;9988;20939;20272;9018;7895;21183;4382;11091;31865;13139;23135;16334;3734;24475;31492;29095;25196;till;tomorrow absolute qua;gosh;pace;15940;2023-10-24;2023-10-24;13906
9;17987;what;13236;flatten considering;lest;2023-10-24;1636;meh ha;wreathe though;25390;32313;30850;22634;attach effectiveness;3470;23767;13725;17027;19704;at yuck;ha dearly;2023-10-24;2023-10-24;2023-10-23;2023-10-24;royal;blah;fire whirlwind;whose;22594;where apropos;towel heavily;whoa even patrolling;hostel;variable;joyfully excitedly whoever;jolt regarding;yowza;reload mmm;coin eek;louse inside yowza;bestow unequaled;stylish but yahoo;mysteriously;provided viola;worldly;uh-huh oh lest;truly woot;circa harmful mmm;round somber zap;instead;lively aw righteously;wilted brr married;painfully;whose lest balloon;name jaggedly arctic;so;except once;10037;14009;18503;9113;5658;27462;14245;6142;32522;28814;71;10063;15741;28149;9123;26460;3393;13655;7154;12677;24539;14942;7249;29790;1525;27200;32090;21807;23519;19065;house inasmuch;grapefruit unbutton;uh-huh anenst wherever;courageously er;28925;2023-10-24;2023-10-24;29608
10;17023;gray majestically;28473;elegantly helplessly nearly;apud upright;2023-10-24;13908;alongside;woot luminous blue;23349;9082;24811;20568;whereas where methodology;20241;8259;16752;25315;9679;reckless explode;because;2023-10-24;2023-10-23;2023-10-24;2023-10-24;phew gah inside;mountainous cope;ha yowza;who yahoo;23222;inasmuch ugly;fooey chimpanzee;fooey;meanwhile through;suburb;duh despite;though;awkwardly worm;drat;arrogantly spud;flaky until even;dental;soon;round respect;whoa qua field;curvy;youthfully commonly until;innocently;questionable;ouch outside dislodge;incommode quirkily;whenever consequently or;vastly;bludgeon within;and;clinch;anchor ha ick;excepting;5838;27059;19396;2787;11974;26072;1575;3132;19827;18227;26494;11969;8061;1212;26038;26166;23587;24272;16491;9434;3375;9508;31459;4604;15397;19265;22034;29352;24345;30745;blah yum;mash upside-down through;researcher persuade whereas;usurp paste;14487;2023-10-23;2023-10-24;9067
